# Blocks-7.0.0.txt
# Date: 2014-04-03, 23:23:00 GMT [RP, KW]
#
# Unicode Character Database
# Copyright (c) 1991-2014 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see http://www.unicode.org/reports/tr44/
#
# Note:   The casing of block names is not normative.
#         For example, "Basic Latin" and "BASIC LATIN" are equivalent.
#
# Format:
# Start Code..End Code; Block Name

# ================================================

# Note:   When comparing block names, casing, whitespace, hyphens,
#         and underbars are ignored.
#         For example, "Latin Extended-A" and "latin extended a" are equivalent.
#         For more information on the comparison of property values, 
#            see UAX #44: http://www.unicode.org/reports/tr44/
#
#  All code points not explicitly listed for Block
#  have the value No_Block.

# Property:	Block
#
# @missing: 0000..10FFFF; No_Block

0000..007F; 基本拉丁文 (Basic Latin)
0080..00FF; 拉丁文补充-1 (Latin 1 Supplement)
0100..017F; 拉丁文扩展-A (Latin Extended-A)
0180..024F; 拉丁文扩展-B (Latin Extended-B)
0250..02AF; 国际音标扩展 (IPA Extensions)
02B0..02FF; 占位修饰符号 (Spacing Modifiers)
0300..036F; 结合附加符号 (Combining Diacritics Marks)
0370..03FF; 希腊字母和科普特字母 (Greek and Coptic)
0400..04FF; 西里尔字母 (Cyrillic)
0500..052F; 西里尔字母补充 (Cyrillic Supplement)
0530..058F; 亚美尼亚字母 (Armenian)
0590..05FF; 希伯来文 (Hebrew)
0600..06FF; 阿拉伯文 (Arabic)
0700..074F; 叙利亚文 (Syriac)
0750..077F; 阿拉伯文补充 (Arabic Supplement)
0780..07BF; 它拿字母 (Thaana)
07C0..07FF; 西非书面语言 (N'Ko)
0800..083F; 撒玛利亚字母 (Samaritan)
0840..085F; 曼底安文 (Mandaic)
08A0..08FF; 阿拉伯文扩展-A (Arabic Extended-A)
0900..097F; 天城梵文 (Devanagari)
0980..09FF; 孟加拉文 (Bengali)
0A00..0A7F; 果鲁穆奇字母 (Gurmukhi)
0A80..0AFF; 古吉拉特文 (Gujarati)
0B00..0B7F; 奥里亚文 (Oriya)
0B80..0BFF; 泰米尔文 (Tamil)
0C00..0C7F; 泰卢固文 (Telugu)
0C80..0CFF; 卡纳达文 (Kannada)
0D00..0D7F; 马拉雅拉姆文 (Malayalam)
0D80..0DFF; 僧伽罗文 (Sinhala)
0E00..0E7F; 泰文 (Thai)
0E80..0EFF; 老挝文 (Lao)
0F00..0FFF; 藏文 (Tibetan)
1000..109F; 缅甸文 (Myanmar)
10A0..10FF; 格鲁吉亚字母 (Georgian)
1100..11FF; 朝鲜文 (Hangul Jamo)
1200..137F; 埃塞俄比亚语 (Ethiopic)
1380..139F; 埃塞俄比亚语补充 (Ethiopic Supplement)
13A0..13FF; 切罗基字母 (Cherokee)
1400..167F; 加拿大统一土著音节 (Unified Canadian Aboriginal Syllabics)
1680..169F; 欧甘字母 (Ogham)
16A0..16FF; 卢恩字母 (Runic)
1700..171F; 他加禄字母 (Tagalog)
1720..173F; 哈努诺文 (Hanunóo)
1740..175F; 布迪文 (Buhid)
1760..177F; 塔格巴努亚文 (Tagbanwa)
1780..17FF; 高棉文 (Khmer)
1800..18AF; 蒙古文 (Mongolian)
18B0..18FF; 加拿大统一土著音节扩展 (Unified Canadian Aboriginal Syllabics Extended)
1900..194F; 林布文 (Limbu)
1950..197F; 德宏傣文 (Tai Le)
1980..19DF; 新傣仂文 (New Tai Lue)
